Year,Agriculture,Architecture,Biology,Computer Science,Engineering,Health Professions,Math and Statistics,Physical Sciences
1970,4.22979798,11.92100539,29.08836297,13.6,0.8,77.1,38,13.8
1971,5.452796685,12.00310559,29.39440285,13.6,1,75.5,39,14.9
1972,7.42071022,13.21459351,29.81022105,14.9,1.2,76.9,40.2,14.8
1973,9.653602412,14.7916134,31.14791477,16.4,1.6,77.4,40.9,16.5
1974,14.07462346,17.44468758,32.99618284,18.9,2.2,77.9,41.8,18.2
1975,18.33316153,19.13404767,34.44990213,19.8,3.2,78.9,40.7,19.1
1976,22.25276005,21.39449143,36.07287146,23.9,4.5,79.2,41.5,20
1977,24.6401766,23.74054054,38.33138629,25.7,6.8,80.5,41.1,21.3
1978,27.14619175,25.84923973,40.11249564,28.1,8.4,81.9,41.6,22.5
1979,29.63336549,27.77047744,42.06555109,30.2,9.4,82.3,42.3,23.7
1980,30.75938956,28.08038075,43.99925716,32.5,10.3,83.5,42.8,24.6
1981,31.31865519,29.84169408,45.24951206,34.8,11.6,84.1,43.2,25.7
1982,32.63666364,34.81624758,45.96733794,36.3,12.4,84.4,44,27.3
1983,31.6353471,35.82625735,46.71313451,37.1,13.1,84.6,44.3,27.6
1984,31.09294748,35.45308311,47.66908276,36.8,13.5,85.1,46.2,28
1985,31.3796588,36.13334795,47.9098841,35.7,13.5,85.3,46.5,27.5
1986,31.19871923,37.24022346,48.30067763,34.7,13.9,85.7,46.7,28.4
1987,31.48642948,38.73067535,50.20987789,32.4,14,85.5,46.5,30.4
1988,31.08508746,39.3989071,50.09981147,30.8,13.9,85.2,46.2,29.7
1989,31.6124031,39.09653994,50.77471585,29.9,14.1,84.6,46.2,31.3
1990,32.70344407,40.82404662,50.81809432,29.4,14.1,83.9,47.3,31.6
1991,34.71183749,33.67988118,51.46880537,28.7,14,83.5,47,32.6
1992,33.93165961,35.20235628,51.34974154,28.2,14.5,83,47.4,32.6
1993,34.94683208,35.77715877,51.12484404,28.5,14.9,82.4,46.4,33.6
1994,36.03267447,34.43353129,52.2462176,28.5,15.7,81.8,47,34.8
1995,36.84480747,36.06321839,52.59940342,27.5,16.2,81.5,46.1,35.9
1996,38.96977475,35.9264854,53.78988011,27.1,16.7,81.3,46.4,37.3
1997,40.68568483,35.10193413,54.99946903,26.8,17,81.9,47,38.3
1998,41.91240333,37.59854457,56.35124789,27,17.8,82.1,48.3,39.7
1999,42.88720191,38.63152919,58.22882288,28.1,18.6,83.5,47.8,40.2
2000,45.05776637,40.02358491,59.38985737,27.7,18.4,83.5,48.2,41
2001,45.86601517,40.69028156,60.71233149,27.6,19,85.1,47,42.2
2002,47.13465821,41.13295053,61.8951284,27,18.7,85.8,45.7,41.1
2003,47.93518721,42.75854266,62.1694558,25.1,18.8,86.5,46,41.7
2004,47.88714025,43.46649345,61.91458697,22.2,18.2,86.5,44.7,42.1
2005,47.67275409,43.10036784,61.50098432,20.6,17.9,86,45.1,41.6
2006,46.79029957,44.49933107,60.17284465,18.6,16.8,85.9,44.1,40.8
2007,47.60502633,43.10045895,59.41199314,17.6,16.8,85.4,44.1,40.7
2008,47.570834,42.71173041,59.30576517,17.8,16.5,85.2,43.3,40.7
2009,48.66722357,43.34892051,58.48958333,18.1,16.8,85.1,43.3,40.7
2010,48.73004227,42.06672091,59.01025521,17.6,17.2,85,43.1,40.2
2011,50.03718193,42.7734375,58.7423969,18.2,17.5,84.8,43.1,40.1
